champion,patch,n_picks,n_bans,n_presence_games,total_games,pick_rate,ban_rate,presence,n_games,avg_kda,avg_gold,avg_gpm,avg_dpm,avg_xp15,winrate,avg_firstblood,avg_goldat15,avg_csat15,avg_cspm,avg_firstdragon,avg_firsttower,avg_towers,avg_void_grubs,avg_barons,avg_infernals,avg_mountains,avg_clouds,avg_oceans,avg_chemtechs,avg_hextechs,avg_elders,corte,relevancia_bin,position
Yone,15.01,50,45,95,272,0.18382352941176472,0.16544117647058823,0.3492647058823529,50,4.105380952380952,13669.08,285.16022,632.59881,7327.3,0.48,0.16,5436.8,135.12,8.939448,0.44,0.44,6.2,3.1,0.58,0.32,0.46,0.36,0.36,0.14,0.5,0.06,0.23897058823529413,1,Mid
Nocturne,15.01,24,70,94,272,0.08823529411764706,0.25735294117647056,0.34558823529411764,24,5.199107142857143,11440.291666666666,236.2924,407.43876666666665,5886.958333333333,0.4166666666666667,0.25,5198.791666666667,109.33333333333331,6.772025,0.375,0.5416666666666666,5.083333333333333,2.875,0.3333333333333333,0.4166666666666667,0.25,0.2916666666666667,0.2916666666666667,0.125,0.375,0,0.23897058823529413,1,Jungle
Orianna,15.01,50,43,93,272,0.18382352941176472,0.15808823529411764,0.34191176470588236,50,6.18763492063492,12781.56,269.886236,692.548246,7204.42,0.5,0.18,5370.08,134.64,8.309972,0.5,0.5,5.96,3.04,0.54,0.4,0.36,0.26,0.42,0.18,0.26,0.12,0.23897058823529413,1,Mid
Rakan,15.01,59,30,89,272,0.21691176470588236,0.11029411764705882,0.3272058823529412,59,7.341162227602905,7963.779661016949,125.7135881355932,155.7449118644068,3466.593220338983,0.576271186440678,0.3898305084745763,3687.5254237288136,20.16949152542373,1.047820338983051,0.6440677966101694,0.5084745762711864,6.288135593220339,2.830508474576271,0.5084745762711864,0.3898305084745763,0.4067796610169492,0.5084745762711864,0.4915254237288136,0.06779661016949153,0.3220338983050847,0.03389830508474576,0.23897058823529413,1,Support
Alistar,15.01,50,36,86,272,0.18382352941176472,0.1323529411764706,0.3161764705882353,50,5.199079365079365,7977.34,115.956288,167.863208,3336.64,0.44,0.28,3541.62,20.2,0.916384,0.42,0.48,5.92,2.88,0.56,0.36,0.5,0.32,0.38,0.12,0.4,0.08,0.23897058823529413,1,Support
Viego,15.01,44,40,84,272,0.16176470588235295,0.14705882352941177,0.3088235294117647,44,5.956764069264069,12164.477272727272,259.5598659090909,427.6599295454546,6206.909090909091,0.5454545454545454,0.3409090909090909,5428.272727272727,112.6818181818182,6.8479909090909095,0.5454545454545454,0.5681818181818182,6.204545454545454,3.0681818181818183,0.4772727272727273,0.3181818181818182,0.4318181818181818,0.5227272727272727,0.4772727272727273,0.13636363636363635,0.5454545454545454,0.04545454545454545,0.23897058823529413,1,Jungle
Xin Zhao,15.01,66,17,83,272,0.2426470588235294,0.0625,0.30514705882352944,66,4.6951479076479075,11743.621212121212,229.50437575757576,480.566196969697,5763.439393939394,0.5303030303030303,0.3333333333333333,5128.045454545455,104.45454545454544,6.239769696969697,0.5909090909090909,0.6363636363636364,6.181818181818182,3.0454545454545454,0.5757575757575758,0.3333333333333333,0.6363636363636364,0.3484848484848485,0.42424242424242425,0.12121212121212122,0.4090909090909091,0.07575757575757576,0.23897058823529413,1,Jungle
Nautilus,15.01,56,26,82,272,0.2058823529411765,0.09558823529411764,0.3014705882352941,56,3.5695230364873223,8083.571428571428,115.5429875,186.9954732142857,3493.3035714285716,0.42857142857142855,0.32142857142857145,3603.464285714286,24.589285714285715,1.1715035714285713,0.44642857142857145,0.5892857142857143,5.892857142857143,3.4107142857142856,0.5,0.4107142857142857,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.5,0.05357142857142857,0.23897058823529413,1,Support
Braum,15.01,41,34,75,272,0.15073529411764705,0.125,0.2757352941176471,41,6.19102787456446,8261.341463414634,119.58459024390244,195.8872756097561,3617.9268292682927,0.5853658536585366,0.2195121951219512,3582.5365853658536,21.24390243902439,0.9510243902439024,0.5609756097560976,0.6097560975609756,6.414634146341464,3.2439024390243905,0.6341463414634146,0.5609756097560976,0.2926829268292683,0.3902439024390244,0.36585365853658536,0.17073170731707318,0.4146341463414634,0.02439024390243902,0.23897058823529413,1,Support
Renata Glasc,15.01,33,40,73,272,0.1213235294117647,0.14705882352941177,0.26838235294117646,33,4.337806637806638,8309.424242424242,117.67773333333334,200.2094090909091,3571.030303030303,0.48484848484848486,0.3939393939393939,3626.4242424242425,20.90909090909091,1.0299757575757575,0.5757575757575758,0.5454545454545454,5.696969696969697,3.303030303030303,0.696969696969697,0.3939393939393939,0.42424242424242425,0.6060606060606061,0.42424242424242425,0.18181818181818185,0.2727272727272727,0.09090909090909093,0.23897058823529413,1,Support
Zyra,15.01,24,48,72,272,0.08823529411764706,0.17647058823529413,0.2647058823529412,24,3.761574074074074,12056.333333333334,225.9396875,708.8929333333333,6233.416666666667,0.375,0.20833333333333337,5244,115.75,6.808720833333333,0.5,0.4166666666666667,4.958333333333333,3.3333333333333335,0.625,0.4166666666666667,0.2916666666666667,0.7083333333333334,0.2916666666666667,0.125,0.25,0.08333333333333333,0.23897058823529413,1,Support
